g	problem	cat	numsurveys	numrespondents	perc	year
0	609	5	3	8989	0	1939
0	610	5	3	8989	0	1939
0	611	5	3	8989	.035	1939
0	701	5	3	8989	0	1939
0	702	5	3	8989	0	1939
0	703	5	3	8989	0	1939
0	704	5	3	8989	0	1939
0	705	5	3	8989	0	1939
0	1	6	3	8989	42.146	1939
0	2	6	3	8989	.43399999	1939
0	3	6	3	8989	.211	1939
0	4	6	3	8989	1.142	1939
0	5	6	3	8989	.234	1939
0	6	6	3	8989	.27500001	1939
0	7	6	3	8989	0	1939
0	8	6	3	8989	0	1939
0	9	6	3	8989	.18799999	1939
0	10	6	3	8989	.033	1939
0	12	6	3	8989	1.324	1939
0	13	6	3	8989	4.8189998	1939
0	14	6	3	8989	1.09	1939
0	15	6	3	8989	.442	1939
0	16	6	3	8989	15.298	1939
0	17	6	3	8989	0	1939
0	18	6	3	8989	0	1939
0	19	6	3	8989	25.108	1939
0	20	6	3	8989	3.4349999	1939
0	21	6	3	8989	0	1939
0	22	6	3	8989	3.2909999	1939
0	23	6	3	8989	.071	1939
0	24	6	3	8989	.46000001	1939
1	1	1	3	8989	47.987999	1939
1	2	1	3	8989	6.961	1939
1	3	1	3	8989	.167	1939
1	4	1	3	8989	.57200003	1939
1	5	1	3	8989	5.0890002	1939
1	6	1	3	8989	30.601999	1939
1	7	1	3	8989	.082	1939
1	8	1	3	8989	.034	1939
1	9	1	3	8989	1.155	1939
1	10	1	3	8989	4.4510002	1939
1	11	1	3	8989	.57700002	1939
1	12	1	3	8989	.167	1939
1	13	1	3	8989	1.5369999	1939
1	14	1	3	8989	.081	1939
1	15	1	3	8989	.537	1939
1	101	2	3	8989	2.3770001	1939
1	102	2	3	8989	33.985001	1939
1	103	2	3	8989	.082	1939
1	104	2	3	8989	0	1939
1	105	2	3	8989	2.951	1939
1	106	2	3	8989	2.3299999	1939
1	107	2	3	8989	.949	1939
1	108	2	3	8989	.116	1939
1	109	2	3	8989	1.525	1939
1	110	2	3	8989	3.6730001	1939
1	201	2	3	8989	.097	1939
