ts,numsurveys,numrespondents,mipds_101_0,mipds_102_0,mipds_103_0,mipds_105_0,mipds_109_0,mipds_110_0,mipds_203_0,mipds_204_0,mipds_207_0,mipds_308_0,mipds_309_0,mipds_401_0,mipds_404_0,mipds_503_0,mipds_509_0,mipds_601_0,mipds_602_0,mipds_603_0,mipds_605_0,mipds_610_0,mipds_804_0,mipds_901_0,mipds_1001_0,mipds_1011_0,mipds_1012_0,mipds_101_1,mipds_102_1,mipds_103_1,mipds_105_1,mipds_109_1,mipds_110_1,mipds_203_1,mipds_204_1,mipds_207_1,mipds_308_1,mipds_309_1,mipds_401_1,mipds_404_1,mipds_503_1,mipds_509_1,mipds_601_1,mipds_602_1,mipds_603_1,mipds_605_1,mipds_610_1,mipds_804_1,mipds_901_1,mipds_1001_1,mipds_1011_1,mipds_1012_1,mipde_101_0,mipde_102_0,mipde_103_0,mipde_105_0,mipde_108_0,mipde_109_0,mipde_110_0,mipde_501_0,mipde_502_0,mipde_504_0,mipde_101_1,mipde_102_1,mipde_103_1,mipde_105_1,mipde_108_1,mipde_109_1,mipde_110_1,mipde_501_1,mipde_502_1,mipde_504_1,mipdfp_506_0,mipdfp_601_0,mipdfp_602_0,mipdfp_603_0,mipdfp_604_0,mipdfp_605_0,mipdfp_606_0,mipdfp_608_0,mipdfp_610_0,mipdfp_701_0,mipdfp_702_0,mipdfp_506_1,mipdfp_601_1,mipdfp_602_1,mipdfp_603_1,mipdfp_604_1,mipdfp_605_1,mipdfp_606_1,mipdfp_608_1,mipdfp_610_1,mipdfp_701_1,mipdfp_702_1,mipdsp_201_0,mipdsp_202_0,mipdsp_203_0,mipdsp_204_0,mipdsp_205_0,mipdsp_207_0,mipdsp_208_0,mipdsp_210_0,mipdsp_211_0,mipdsp_212_0,mipdsp_217_0,mipdsp_201_1,mipdsp_202_1,mipdsp_203_1,mipdsp_204_1,mipdsp_205_1,mipdsp_207_1,mipdsp_208_1,mipdsp_210_1,mipdsp_211_1,mipdsp_212_1,mipdsp_217_1,mipd_1_0,mipd_2_0,mipd_3_0,mipd_4_0,mipd_5_0,mipd_6_0,mipd_7_0,mipd_8_0,mipd_9_0,mipd_10_0,mipd_11_0,mipd_12_0,mipd_13_0,mipd_14_0,mipd_15_0,mipd_1_1,mipd_2_1,mipd_3_1,mipd_4_1,mipd_5_1,mipd_6_1,mipd_7_1,mipd_8_1,mipd_9_1,mipd_10_1,mipd_11_1,mipd_12_1,mipd_13_1,mipd_14_1,mipd_15_1,cap_1_0,cap_2_0,cap_3_0,cap_4_0,cap_5_0,cap_6_0,cap_7_0,cap_8_0,cap_9_0,cap_10_0,cap_12_0,cap_13_0,cap_14_0,cap_15_0,cap_16_0,cap_17_0,cap_18_0,cap_19_0,cap_20_0,cap_21_0,cap_22_0,cap_23_0,cap_24_0,cap_1_1,cap_2_1,cap_3_1,cap_4_1,cap_5_1,cap_6_1,cap_7_1,cap_8_1,cap_9_1,cap_10_1,cap_12_1,cap_13_1,cap_14_1,cap_15_1,cap_16_1,cap_17_1,cap_18_1,cap_19_1,cap_20_1,cap_21_1,cap_22_1,cap_23_1,cap_24_1
1941q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.584,.65939999,.0206,.0104,12.4832,64.5662,.0516,0,.94420002,4.191,.0618,.0206,2.4069999,0,0,14.6716,.76599998,0,.0828,13.5266,61.495001,.0622,0,1.1432,4.5365999,.0208,.0208,3.653,0,.0208,14.3142,.0412,.0206,.20599999,.75800002,0,0,0,.1854,.031,.0412,.53579998,0,.0722,39.024399,0,.0516,37.176999,4.191,0,3.3504001,0,0,14.4672,.0208,.0828,.1036,.62879999,.0414,0,0,.1242,0,0,.64180002,.0208,.0622,37.956401,0,.0622,36.4348,4.5365999,0,4.7962001,0,.0208
1941q4,2,5791,0,1.045,1.859,.205,2.283,5.283,0,0,0,0,0,0,0,0,0,31.798,0,0,26.384,0,0,.897,0,2.461,.163,0,1.633,2.293,.195,2.092,6.539,0,0,0,0,0,0,0,0,0,28.627,0,0,22.527,0,0,.976,0,2.555,.684,0,1.045,1.859,.205,.896,2.283,5.283,0,.21,11.938,0,1.633,2.293,.195,.76,2.092,6.539,0,.349,13.609,11.938,31.798,0,0,0,26.384,0,.989,11.147,0,0,13.609,28.627,0,0,0,22.527,0,.973,12.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.571,0,0,0,12.148,70.318001,0,0,.89700001,2.6240001,0,0,2.4419999,0,0,13.513,0,0,0,13.958,64.317001,0,0,.97600001,3.2379999,0,0,3.997,0,0,10.886,0,0,0,.89600003,0,0,0,0,0,0,0,0,0,38.321999,0,0,43.933998,2.6240001,0,3.3380001,0,0,13.102,0,0,0,.75999999,0,0,0,0,0,0,0,0,0,36.136002,0,0,41.791,3.2379999,0,4.973,0,0
1942q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.41275,2.2284999,.36475,0,11.0185,59.224751,0,0,.67275001,2.9857501,0,0,5.9269999,0,3.1652501,16.3085,1.69025,.24725001,0,12.3915,55.230001,0,0,.73200001,4.2104999,0,0,6.8919999,0,2.29775,13.899,.36475,0,1.9075,.67200002,.35874999,0,0,0,0,0,.72974998,0,0,34.721499,0,0,34.596749,2.9857501,0,6.599,0,3.1652501,16.00025,.24725001,0,1.923,.56999999,.14049999,0,0,0,0,0,.49425,0,0,33.533251,0,0,32.95925,4.2104999,0,7.624,0,2.29775
1942q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.2545,4.4569998,.7295,0,9.8889999,48.1315,0,0,.44850001,3.3475001,0,0,9.4119999,0,6.3305001,19.104,3.3805001,.49450001,0,10.825,46.143001,0,0,.48800001,5.1829998,0,0,9.7869998,0,4.5955,16.912,.7295,0,3.8150001,.44800001,.71749997,0,0,0,0,0,1.4595,0,0,31.120999,0,0,25.259499,3.3475001,0,9.86,0,6.3305001,18.8985,.49450001,0,3.846,.38,.28099999,0,0,0,0,0,.9885,0,0,30.930501,0,0,24.1275,5.1829998,0,10.275,0,4.5955
1942q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.09625,6.6854997,1.09425,0,8.7595,37.03825,0,0,.22425,3.7092501,0,0,12.897,0,9.4957502,21.8995,5.0707501,.74175002,0,9.2585,37.056,0,0,.244,6.1554998,0,0,12.682,0,6.89325,19.925,1.09425,0,5.7225001,.22400001,1.07625,0,0,0,0,0,2.1892499,0,0,27.5205,0,0,15.92225,3.7092501,0,13.121,0,9.4957502,21.79675,.74175002,0,5.7689999,.19,.42149998,0,0,0,0,0,1.48275,0,0,28.327751,0,0,15.29575,6.1554998,0,12.926,0,6.89325
1942q4,1,2935,3.814,8.762,6.549,3.814,0,0,1.435,0,0,0,1.459,0,0,0,0,0,0,0,19.36,0,0,0,0,3.393,0,4.033,10.077,6.551,4.033,0,0,.562,0,0,0,.989,0,0,0,0,0,0,0,21.505,0,0,0,0,5.94,0,3.814,8.762,6.549,3.814,0,0,0,0,0,0,4.033,10.077,6.551,4.033,0,0,0,0,0,0,0,2.735,0,0,0,19.36,0,3.85,0,0,0,0,2.518,0,0,0,21.505,0,3.946,0,0,0,1.459,1.459,1.435,0,0,0,0,0,0,0,4.559,.989,.989,.562,0,0,0,0,0,0,0,4.221,22.938,8.9139996,1.459,0,7.6300001,25.945,0,0,0,4.0710001,0,0,16.382,0,12.661,24.695,6.7610002,.98900002,0,7.6919999,27.969,0,0,0,7.1279998,0,0,15.577,0,9.191,22.938,1.459,0,7.6300001,0,1.4349999,0,0,0,0,0,2.9189999,0,0,23.92,0,0,6.585,4.0710001,0,16.382,0,12.661,24.695,.98900002,0,7.6919999,0,.56199998,0,0,0,0,0,1.977,0,0,25.725,0,0,6.4640002,7.1279998,0,15.577,0,9.191
1943q1,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,25.054875,9.7622496,1.401125,.06225,6.9676251,26.46175,.024375,0,.06225,3.8486251,.18674999,0,14.37075,0,11.797125,26.621625,7.7536251,.94350002,.039125,7.0433749,28.556125,.098125,0,.039125,6.5737498,.11725,0,13.6585,0,8.5575,24.993,1.401125,.06225,6.8833751,.08525,1.3178749,0,0,0,0,.18674999,2.8144999,.14137501,.060875,25.69025,0,0,6.28425,3.8486251,0,14.433125,0,11.797125,26.55825,.94350002,.039125,6.9349999,.106375,.53087498,0,0,0,0,.11725,1.941875,.30437499,.0655,27.30175,0,0,6.3273752,6.5737498,0,13.697625,0,8.5575
1943q2,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,27.17175,10.6105,1.34325,.1245,6.3052501,26.9785,.04875,0,.1245,3.6262501,.37349999,0,12.3595,0,10.93325,28.54825,8.74625,.89800002,.07825,6.3947499,29.14325,.19625001,0,.07825,6.0194998,.23450001,0,11.74,0,7.924,27.047999,1.34325,.1245,6.1367501,.1705,1.20075,0,0,0,0,.37349999,2.7099999,.28275001,.12175,27.4605,0,0,5.9835,3.6262501,0,12.48425,0,10.93325,28.4215,.89800002,.07825,6.1779999,.21275,.49974998,0,0,0,0,.23450001,1.90675,.60874999,.131,28.8785,0,0,6.1907501,6.0194998,0,11.81825,0,7.924
1943q3,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29.288625,11.45875,1.285375,.18675,5.6428751,27.49525,.073125,0,.18675,3.4038751,.56024998,0,10.34825,0,10.069375,30.474875,9.738875,.85250001,.117375,5.746125,29.730375,.29437501,0,.117375,5.4652499,.35175001,0,9.8214998,0,7.2905,29.102999,1.285375,.18675,5.3901251,.25574999,1.083625,0,0,0,0,.56024998,2.6054999,.42412502,.182625,29.23075,0,0,5.68275,3.4038751,0,10.535375,0,10.069375,30.28475,.85250001,.117375,5.421,.319125,.46862498,0,0,0,0,.35175001,1.871625,.91312498,.1965,30.455251,0,0,6.0541251,5.4652499,0,9.9388748,0,7.2905
1943q4,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.4055,12.307,1.2275,.249,4.9805001,28.012,.0975,0,.249,3.1815001,.74699998,0,8.337,0,9.2055001,32.401501,10.7315,.80700001,.1565,5.0975,30.3175,.39250001,0,.1565,4.9109999,.46900001,0,7.9029998,0,6.6570001,31.157999,1.2275,.249,4.6435,.34099999,.96649997,0,0,0,0,.74699998,2.5009999,.56550002,.24349999,31.001,0,0,5.382,3.1815001,0,8.5865,0,9.2055001,32.148001,.80700001,.1565,4.664,.42550001,.43749999,0,0,0,0,.46900001,1.8365,1.2175,.26199999,32.032001,0,0,5.9175,4.9109999,0,8.0594998,0,6.6570001
